Coding,Message
Action,We are asking every shop around the BAY ISLANDS to do at least one dive on Sunday that is a specific cleanup dive!
Information,"Turtle meat is still consumed throughout the island and people use nets and spears to catch them. This net was most likely from Crawfish Rock as we have had numerous reports of them from community members. There are undoubtedly dozens more turtle nets being used around Roatan so we ask all boat owners to keep on the look out for lines of small floats inside lagoons , indicating a net. One can only imagine how many turtles have sadly died in this net but thankfully it has now been destroyed and can no longer kill our hawksbill and green turtles."
Information,"these guys are all alive and as well as can be hoped. to ensure that the iguanas don't escape, they rip out the nail from each foot and tie them together, using the tendon as rope. Not very nice for the iguanans but at least these guys were all well enough to scamper off into the bushes once released"
Community,DOLPHINS!!! a few Hundred heading East from Gibson Bight!!!\nKeep us updated if you see them :)
Action,"Our Director, Giaco Palavicini, is in Mexico sharing the work he has done for not only the benefit of Roatan but for Honduras and the entire region! \n\nWe are so proud of him for taking the Roatan Marine Park to the next level! \n\nIf you happen to be in Playa de Carmen today at 6pm you should check him out!! "
Information,"We investigated the boats and please know they had a permit but not one from the Roatan Marine Park...However, the vessel had been issued a permit no. 092-2012, by the Secretaria de Agricultura y Ganaderia that house the Fisheries Department, from the mainland, allowing them to do so, therefore going against the regulations stated in the current and legal management plan."
Community,Thank you to everyone that came out to support!!
Community,"LandFillHarmonic! Yet another thing we can do with what others deem ""garbage""\n\nhttp://www.upworthy.com/watch-the-first-54-seconds-that-s-all-i-ask-you-ll-be-hooked-after-that-i-swear?c=reccon1"
Action,captains meeting for the lionfish rodeo tonight at Blue Marlin at 6pm
Community,"Dian Lynn what is your email address, we will send you our logo!"
Community,"The RMP thanks for the support of our members and supporters and would like to give a special thanks in this occasion to the South Side Supporters that helped in  reactivate the South Side RMP. \nBarefoot Cay and Dive Shop, Coco View and Dock Side Divers and Subway. We would also want to thank for the permanent care, love an patrols on the French Cay are of Mr. Sherman Arch."
Community,"Ever thought about snorkeling the mangroves?? There are some wonders that can be found if you just have a little patience and a keen eye! \nGeotourism is alive and well, Please check out Go Blue Central America Geotourism for more ideas like MANGROVE SNORKELING on Roatan!"
Community,It's a date
Action,Our photo competition is coming up... Don't forget to submit for a chance to be in next year's calendar!
Information,It our time to enforce this great step forward to make a real effort to protect our sharks 
Community,It sure is!!
Community,It is a flamingo tongue :) One of the most photogenic mollusks out there :)
Community,"We are looking for Secret Shoppers for the The Bay Islands Responsible Seafood Guide... If you are going out to eat in the next few weeks, please let us know!"
Community,I will be making the petition in the next couple days and checking on the validity of an online one. Thanks for the support!
Community,Janeth son pepinos. Amilcar check the comment towards the beginning to answer your questions about what they are doing with them.
Action,"Photo contest deadline has been extended to this Fri., Aug. 7 due to technical difficulties."
Community,"If you have problems opening it, go to our webpage www.roatanmarinepark.net and click the link for the newsletter"
Information,It is a shame that so many have died this season. We are investigating their reproductive cycle and the very real possibility of survival of the fittest.
Community,We can arrange it for the US and Canada.  Anywhere else takes a long time and is costly!
Action,New bags FOR SALE!!! Only LPS 100!!!
Action,"It's amazing. Too many auction items and prizes coming in. It's getting very exciting. Place your bids now, or see you at Bananrama for the live auction!"
Community,Did anyone get a copy of Diario el Tiempo yesterday??? Pages 6 and 7 are about the Bay Islands Coastal Clean Up :) We would like a copy :)
Community,David Henriquez we need ppl now to help with a conch nursery...
Community,Sure we shared this months ago. Why wait for those Coca-Cola packs to get here?? \nMar Leaders where you at?? :)
Community,Please check out the differences at\n http://www.starfish.ch/reef/marine-turtles.html
Community,"Now, that is what a beach cleanup is supposed to look like!!"
Action,"Good Morning All, \nJust a quick reminder to all diveshop owners and managers. Please check your email for an invitation to our meeting tomorrow night.\n If you have not received the invite please PM us for more info. \nWe will be discussing rules and regulations of the National Marine Park and what we can do to reduce the amount of boat to diver/snorkeler incidents. \nThanks, \nRMP staff"
Community,CALL IN TO ROATAN RADIO 101.1 TO WIN A FREE RMP CALENDAR... ALL YOU NEED TO KNOW IS WHO WON 1ST PLACE IN OUR 'INVERTS' CATEGORY.... \n\nPhone\t9796-1760\nEmail\troatanradio@gmail.com\nWebsite\thttp://www.roatanradio.com
Action,WEST END we are meeting at Barefeet Bar at 8am and walking and cleaning as we go!! There might be a little extra perk at sundowners @ 5 for those that help out! 
Information,6 more iguanas confiscated over the weekend. These guys were taken off kids on the West Bay road and relocated in Gumbalimba where they should be safe from becoming a stew
Community,We have 7 plastic bottle and aluminium can recycle bins available to anyone willing to take charge of them. They may be used for everyday trash so you may have to clean them once in a while. We can deliver if you don't have a vehicle!
Information,Take advantage of slow season!!
Community,"Sarah and Audray, This kids were lost at sea for 4 days. They were found on the last sweep of the search 60 miles NW of Roatan."
Community,"Our Park Rangers are getting ready for everything, this weekend they received their Emergency First Response course. Well done guys!"
Community,"In semana santa our team work hard side by side with Cruz Roja, Bomberos, Police, Marina Mercante, COPECO, Hospitals and Municipality to reduce the risks of semana santa here are some photos of that effort."
Information,lionfish ribs...
Community,https://www.facebook.com/events/1444825592481683/
Community,"We would like to thank our latest Individual Gold Members, Christopher Dye and Dan Szpak. As a dedication to  their dog which sadly passed away, the latest dive site in Sandy Bay is Zack's Patch, located just to the east of Peter's Place. Sitting at 40ft right next to the shallow wall, there are a host of swimthroughs and channels to keep you busy."
Information,"Semana Santa Operative meeting at the Municipality... Proud to be a part of safety during Semana Santa! \r\nIf you have any Health (fire, police) related Emergencies please call COE (Operation Center for Emergencies) @ 2445-1972 or call Roatan's Vice Mayor Elsa @ 9986-6626\r\nIf you have any Marine related Emergencies call our Director Giaco @ 3171-5982 or our office @ 2445-4206 or 4208"
Information,Paperwork is signed and our new Board of Directors are ready to go! Everyone is really excited about the first board meeting taking place next week!
Action,We are actively looking for a coordinator for Bay Islands Coastal Clean Up for the West Bay area... please contact Christi @ 3289 1213 if you are interested!
Community,"Clay Fowler I will give you a bit of background. There is an Acuerdo (002-2004 art. 35) that states that no plastics, bottles, bags or packaging shall be introduced into The Bay Islands without the necessary removal efforts in place. As of June of this year we have had the 4 biggest supermarkets ban plastic bags. They are now slowly and surely bringing them back as there are no municipal sanctions in place, even though we have had this Acuerdo since 2004! \nWe, the RMP, want to show the municipality the support this initiative has from the communities. \nSo I ask again... would you sign a petition to save our ecosystems?"
Information,"As promised to our English-speaking friends, fans and supporters, here is: \xa8The Lionfish: Serious Threat to Roatan\xb4s Reefs\xa8 (English version) which also will be aired on local television"
Action,"Check back regularly to see the submissions for this year's photo competition.  Winners will be announced in August and featured in the 2010 RMP Calendar, which will be available in late Sept. \n\nNames of the submitters will not be shown prior to judging so as to not bias the results."
Information,"The graph indicates sale of the ""user fee"" by dive shops and businesses within the SBWEMR in January 2014 and does not include user fees on consignment, memberships, t-shirt sales or lionfish licenses. We would like to thank all our supporters and highlight that without you promoting our conversational message, we would be unable to continue protecting Roatan's reefs."
Community,We were tagged in this beautiful seahorse photo by Gary Miller from Barefoot Divers! Thank you Gary for this week's Photo of the Week!
Community,Awesome! Thanks Scubaba!!
Action,Entries to have people's photos in the 2010 RMP calendar
Community,"This is an oversight committee to ensure the proper execution of all the programs within the National Marine Park.  Specifically for the RMP, being a part of this Committee allows us to be more involved and have our voice heard by the main key players throughout the Bay Islands!"
Action,Ladies and Gentlemen... the first 5 ppl to bring in a bag full of marine trash (plastic) will be given one of these bad boys :) Please contact Christi upstairs in the office or at 3289 1213 to redeem your prize!
Information,They are all safe. Minor injuries if any. They have been taken to the hospital for check ups.
